,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
503,1664,2.0,Volcán Complejo,True,True,Unzen (Japan)
504,1698,3.0,Estratovolcán,True,True,Cotopaxi (Ecuador)
505,1775,3.0,Estratovolcán,True,True,Gamalama (Indonesia)
506,1800,2.0,Estratovolcán,True,True,Mayon (Philippines)
507,1822,4.0,Estratovolcán,True,True,Usu (Japan)
508,1822,5.0,Estratovolcán,True,True,Galunggung (Indonesia)
509,1840,2.0,Estratovolcán,False,True,Gamalama (Indonesia)
510,1874,3.0,Estratovolcán,True,True,Miyake-jima (Japan)
511,1911,,Volcán De Lodo,False,True,Piparo (Trinidad)
512,1911,3.0,Estratovolcán,True,True,Semeru (Indonesia)
513,1916,3.0,Estratovolcán,False,True,Stromboli (Italy)
514,1928,2.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
515,1933,2.0,Estratovolcán,False,True,Bulusan (Philippines)
516,1944,2.0,Estratovolcán,True,True,Usu (Japan)
517,1953,,Estratovolcán,True,True,Ruapehu (New Zealand)
518,1966,4.0,Estratovolcán,True,True,Kelut (Indonesia)
519,1966,4.0,Estratovolcán,True,True,"Lengai, Ol Doinyo (Tanzania)"
520,1969,,Caldera,True,True,Narugo (Japan)
521,1971,3.0,Estratovolcán,True,True,"Hudson, Cerro (Chile)"
522,1973,2.0,Volcán Complejo,True,True,Iliwerung (Indonesia)
523,1979,2.0,Estratovolcán,True,True,Karkar (Papua New Guinea)
524,1981,2.0,Estratovolcán,True,True,Etna (Italy)
525,1982,5.0,Cono De Toba,True,False,"Chichon, El (Mexico)"
526,1993,2.0,Volcán Complejo,True,True,Galeras (Colombia)
527,2002,3.0,Estratovolcán,True,False,Etna (Italy)
528,2008,,Estratovolcán,True,True,Huila (Colombia)
529,2011,4.0,Estratovolcán,True,True,Puyehue (Chile)
530,2013,,Arandela De Cúpula,True,True,Okataina (New Zealand)
531,2014,3.0,Volcán Complejo,True,True,On-take (Japan)
532,2014,,Estratovolcán,True,True,Gamalama (Indonesia)
533,2018,,Estratovolcán,True,True,Mayon (Philippines)
534,2018,4.0,Estratovolcán,True,True,Manam (Papua New Guinea)
535,-4360,6.0,Caldera,True,True,Macauley Island (New Zealand)
536,-4000,6.0,Caldera,True,True,Pago (Papua New Guinea)
537,-50,6.0,Escudo Piroclástico,True,True,Apoyeque (Nicaragua)
538,46,3.0,Volcán En Escudo,False,True,Santorini (Greece)
539,500,,Campo Volcánico,True,True,"Arhab, Harra of (Yemen)"
540,787,3.0,Volcán Complejo,True,True,Vesuvius (Italy)
541,1536,3.0,Estratovolcán,True,True,Etna (Italy)
542,1690,,Volcán Complejo,False,True,Vesuvius (Italy)
543,1726,1.0,Estratovolcán,True,True,Bardarbunga (Iceland)
544,1730,3.0,Estratovolcán,True,True,Raung (Indonesia)
545,1742,3.0,Estratovolcán,True,True,Cotopaxi (Ecuador)
546,1749,3.0,Estratovolcán,False,False,Taal (Philippines)
547,1848,2.0,Estratovolcán,True,True,Kelut (Indonesia)
548,1861,3.0,Estratovolcán,True,False,Dubbi (Eritrea)
549,1892,2.0,Caldera,False,True,Tofua (Tonga)
550,1897,3.0,Estratovolcán,True,True,Mayon (Philippines)
551,1902,,Estratovolcán,False,True,Pelee (Martinique)
552,1912,3.0,Volcán En Escudo,True,True,"Nyamuragira (Congo, DRC)"
553,1919,1.0,Estratovolcán,True,True,Popocatepetl (Mexico)
554,1919,,Volcán Submarino,False,True,Banua Wuhu (Indonesia)
555,1923,2.0,Volcanes Submarinos,False,False,"Cendres, Ile des (Vietnam)"
556,1929,2.0,Estratovolcán,True,True,Etna (Italy)
557,1939,2.0,Estratovolcán,True,True,Tori-shima (Japan)
558,1940,2.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
559,1947,2.0,Volcán Complejo,True,True,Asama (Japan)
560,1957,2.0,Estratovolcán,True,True,Oshima (Japan)
561,1979,2.0,Caldera,True,True,Aso (Japan)
562,1980,,Estratovolcán,True,True,Hood (United States)
563,1989,,Volcán En Escudo,True,True,Kirishima (Japan)
564,1994,1.0,Caldera,True,True,Aso (Japan)
565,2001,3.0,Estratovolcán,True,True,Etna (Italy)
566,2011,2.0,Estratovolcán,True,True,Bulusan (Philippines)
567,2014,,Estratovolcán,True,True,Kelut (Indonesia)
568,-1370,6.0,Caldera,True,True,Pago (Papua New Guinea)
569,710,6.0,Caldera,True,True,Pago (Papua New Guinea)
570,1853,3.0,Estratovolcán,True,True,Mayon (Philippines)
571,1872,4.0,Estratovolcán,True,True,Merapi (Indonesia)
572,1878,3.0,Estratovolcán,False,True,Yasur (Vanuatu)
